"","bird","session","accuracy","Euclidean","CityBlock"
"1","43R",1,0,7.21110255092798,10
"2","43R",1,1,4.47213595499958,6
"3","43R",1,1,3.60555127546399,5
"4","43R",1,0,5.3851648071345,7
"5","43R",1,0,1,1
"6","43R",1,0,7.61577310586391,10
"7","43R",1,1,7.07106781186548,8
"8","43R",1,0,3.60555127546399,5
"9","43R",1,1,2.82842712474619,4
"10","43R",1,0,9.4339811320566,13
"11","43R",1,0,4,4
"12","43R",1,1,4,4
"13","43R",1,0,8.06225774829855,11
"14","43R",1,0,2,2
"15","43R",1,0,3,3
"16","43R",1,1,5.8309518948453,8
"17","43R",1,1,7,7
"18","43R",1,1,6,6
"19","43R",1,0,10,14
"20","43R",1,1,10,14
"21","43R",1,0,5.09901951359278,6
"22","43R",1,1,6.08276253029822,7
"23","43R",1,1,9.89949493661167,14
"24","43R",1,0,9.4339811320566,13
"25","43R",1,1,9.4339811320566,13
"26","43R",1,1,5,5
"27","43R",1,0,8,8
"28","43R",1,0,10,14
"29","43R",1,0,8.06225774829855,11
"30","43R",1,1,8.54400374531753,11
"31","43R",1,1,2.23606797749979,3
"32","43R",1,1,4.12310562561766,5
"33","43R",1,1,4.12310562561766,5
"34","43R",1,1,7.61577310586391,10
"35","43R",1,0,7.28010988928052,9
"36","43R",1,1,8.94427190999916,12
"37","43R",1,0,7.07106781186548,8
"38","43R",1,0,6.32455532033676,8
"39","43R",1,1,7,7
"40","43R",1,1,7.21110255092798,10
"41","43R",1,0,5.3851648071345,7
"42","43R",1,1,6.32455532033676,8
"43","43R",1,1,1,1
"44","43R",1,0,9.89949493661167,14
"45","43R",1,0,3.16227766016838,4
"46","43R",1,1,4.47213595499958,6
"47","43R",1,0,8.48528137423857,12
"48","43R",1,0,8.54400374531753,11
"49","43R",1,1,3.16227766016838,4
"50","43R",1,1,3.16227766016838,4
"51","43R",1,0,7.07106781186548,8
"52","43R",1,1,1.4142135623731,2
"53","43R",1,1,11.3137084989848,16
"54","43R",1,0,8.06225774829855,9
"55","43R",1,0,2.82842712474619,4
"56","43R",1,1,7.21110255092798,10
"57","43R",1,1,5.8309518948453,8
"58","43R",1,1,6.70820393249937,9
"59","43R",1,1,6.70820393249937,9
"60","43R",1,1,3,3
"61","43R",1,1,7.61577310586391,10
"62","43R",1,1,8.06225774829855,11
"63","43R",1,1,4.47213595499958,6
"64","43R",1,1,7.81024967590665,11
"65","43R",1,1,8,8
"66","43R",1,1,8.60232526704263,12
"67","43R",1,1,5,5
"68","43R",1,0,5.8309518948453,8
"69","43R",1,0,2,2
"70","43R",1,1,10.6301458127346,15
"71","43R",1,1,8.94427190999916,12
"72","43R",1,1,7.28010988928052,9
"73","43R",1,0,6,6
