"","bird","date","task","trial","numLeft","numRight","areaLeft","areaRight","correct","choice","accuracy","RT","session","areaIncorrect","numIncorrect","areaCorrect","numCorrect","T_areaInc","T_numInc","T_areaCorr","T_numCorr","Euclidean","CityBlock"
"1","43R",2022-09-02,"n-A",1,6,16,21,9,"L","R",0,0.372,1,9,16,21,6,5,7,9,1,7.21110255092798,10
"2","43R",2022-09-02,"n-A",2,12,6,14,21,"R","R",1,0.621,1,14,12,21,6,7,5,9,1,4.47213595499958,6
"3","43R",2022-09-02,"n-A",3,10,6,14,21,"R","R",1,0.587,1,14,10,21,6,7,4,9,1,3.60555127546399,5
"4","43R",2022-09-02,"n-A",4,14,6,14,21,"R","L",0,0.43,1,14,14,21,6,7,6,9,1,5.3851648071345,7
"5","43R",2022-09-02,"n-A",5,7,6,21,21,"R","L",0,0.749,1,21,7,21,6,9,2,9,1,1,1
"6","43R",2022-09-02,"n-A",6,19,6,11,21,"R","L",0,2.217,1,11,19,21,6,6,8,9,1,7.61577310586391,10
"7","43R",2022-09-02,"n-A",7,7,6,5,21,"R","R",1,1.629,1,5,7,21,6,2,2,9,1,7.07106781186548,8
"8","43R",2022-09-02,"n-A",8,6,8,21,11,"L","R",0,1.493,1,11,8,21,6,6,3,9,1,3.60555127546399,5
"9","43R",2022-09-02,"n-A",9,6,8,21,14,"L","L",1,1.433,1,14,8,21,6,7,3,9,1,2.82842712474619,4
"10","43R",2022-09-02,"n-A",10,22,6,7,21,"R","L",0,2.476,1,7,22,21,6,4,9,9,1,9.4339811320566,13
"11","43R",2022-09-02,"n-A",11,12,6,21,21,"R","L",0,0.953,1,21,12,21,6,9,5,9,1,4,4
"12","43R",2022-09-02,"n-A",12,6,12,21,21,"L","L",1,2.717,1,21,12,21,6,9,5,9,1,4,4
"13","43R",2022-09-02,"n-A",13,12,6,5,21,"R","L",0,2.107,1,5,12,21,6,2,5,9,1,8.06225774829855,11
"14","43R",2022-09-02,"n-A",14,6,6,14,21,"R","L",0,1.308,1,14,6,21,6,7,1,9,1,2,2
"15","43R",2022-09-02,"n-A",15,6,10,21,21,"L","R",0,2.288,1,21,10,21,6,9,4,9,1,3,3
"16","43R",2022-09-02,"n-A",16,10,6,7,21,"R","R",1,1.329,1,7,10,21,6,4,4,9,1,5.8309518948453,8
"17","43R",2022-09-02,"n-A",17,19,6,21,21,"R","R",1,0.953,1,21,19,21,6,9,8,9,1,7,7
"18","43R",2022-09-02,"n-A",18,6,16,21,21,"L","L",1,1.348,1,21,16,21,6,9,7,9,1,6,6
"19","43R",2022-09-02,"n-A",19,16,6,4,21,"R","L",0,0.806,1,4,16,21,6,1,7,9,1,10,14
"20","43R",2022-09-02,"n-A",20,6,16,21,4,"L","L",1,0.497,1,4,16,21,6,1,7,9,1,10,14
"21","43R",2022-09-02,"n-A",21,7,6,7,21,"R","L",0,2.096,1,7,7,21,6,4,2,9,1,5.09901951359278,6
"22","43R",2022-09-02,"n-A",22,6,7,21,6,"L","L",1,0.585,1,6,7,21,6,3,2,9,1,6.08276253029822,7
"23","43R",2022-09-02,"n-A",23,6,19,21,5,"L","L",1,1.941,1,5,19,21,6,2,8,9,1,9.89949493661167,14
"24","43R",2022-09-02,"n-A",24,14,6,4,21,"R","L",0,1.25,1,4,14,21,6,1,6,9,1,9.4339811320566,13
"25","43R",2022-09-02,"n-A",25,6,14,21,4,"L","L",1,2.147,1,4,14,21,6,1,6,9,1,9.4339811320566,13
"26","43R",2022-09-02,"n-A",26,6,6,21,7,"L","L",1,1.707,1,7,6,21,6,4,1,9,1,5,5
"27","43R",2022-09-02,"n-A",27,6,6,21,4,"L","R",0,2.021,1,4,6,21,6,1,1,9,1,8,8
"28","43R",2022-09-02,"n-A",28,22,6,6,21,"R","L",0,1.587,1,6,22,21,6,3,9,9,1,10,14
"29","43R",2022-09-02,"n-A",29,19,6,9,21,"R","L",0,1.126,1,9,19,21,6,5,8,9,1,8.06225774829855,11
"30","43R",2022-09-02,"n-A",30,10,6,4,21,"R","R",1,1.829,1,4,10,21,6,1,4,9,1,8.54400374531753,11
"31","43R",2022-09-02,"n-A",31,7,6,14,21,"R","R",1,0.369,1,14,7,21,6,7,2,9,1,2.23606797749979,3
"32","43R",2022-09-02,"n-A",32,6,7,21,9,"L","L",1,0.549,1,9,7,21,6,5,2,9,1,4.12310562561766,5
"33","43R",2022-09-02,"n-A",33,7,6,9,21,"R","R",1,1.349,1,9,7,21,6,5,2,9,1,4.12310562561766,5
"34","43R",2022-09-02,"n-A",34,6,19,21,11,"L","L",1,1.061,1,11,19,21,6,6,8,9,1,7.61577310586391,10
"35","43R",2022-09-02,"n-A",35,8,6,5,21,"R","L",0,1.657,1,5,8,21,6,2,3,9,1,7.28010988928052,9
"36","43R",2022-09-02,"n-A",36,6,12,21,4,"L","L",1,0.772,1,4,12,21,6,1,5,9,1,8.94427190999916,12
"37","43R",2022-09-02,"n-A",37,6,19,21,17,"L","R",0,0.872,1,17,19,21,6,8,8,9,1,7.07106781186548,8
"38","43R",2022-09-02,"n-A",38,16,6,14,21,"R","L",0,2,1,14,16,21,6,7,7,9,1,6.32455532033676,8
"39","43R",2022-09-02,"n-A",39,6,6,5,21,"R","R",1,0.793,1,5,6,21,6,2,1,9,1,7,7
"40","43R",2022-09-02,"n-A",40,6,12,21,6,"L","L",1,1.645,1,6,12,21,6,3,5,9,1,7.21110255092798,10
"41","43R",2022-09-02,"n-A",41,6,8,21,7,"L","R",0,2.348,1,7,8,21,6,4,3,9,1,5.3851648071345,7
"42","43R",2022-09-02,"n-A",42,6,8,21,6,"L","L",1,0.721,1,6,8,21,6,3,3,9,1,6.32455532033676,8
"43","43R",2022-09-02,"n-A",43,6,6,21,17,"L","L",1,1.374,1,17,6,21,6,8,1,9,1,1,1
"44","43R",2022-09-02,"n-A",44,19,6,5,21,"R","L",0,0.629,1,5,19,21,6,2,8,9,1,9.89949493661167,14
"45","43R",2022-09-02,"n-A",45,10,6,17,21,"R","L",0,1.301,1,17,10,21,6,8,4,9,1,3.16227766016838,4
"46","43R",2022-09-02,"n-A",46,8,6,9,21,"R","R",1,1.694,1,9,8,21,6,5,3,9,1,4.47213595499958,6
"47","43R",2022-09-02,"n-A",47,16,6,6,21,"R","L",0,1.449,1,6,16,21,6,3,7,9,1,8.48528137423857,12
"48","43R",2022-09-02,"n-A",48,22,6,11,21,"R","L",0,2.317,1,11,22,21,6,6,9,9,1,8.54400374531753,11
